pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35856112,0x12ab0c2feed1114174f26d520094d8ff827c849240f0d292b4077716c654a17b,1667777450,3,0x12ab0c2feed1114174f26d520094d8ff827c849240f0d292b4077716c654a17b,sender,recipient,-4.8896530404999154,200.0,504289591998167693651390955598,0,40513600594369.305,37018
mypool,35856501,0x66aa51562995fca66a99f7e648b4489a38ac5053a23cebb8ac0ad469a617ce3c,1667777593,3,0x66aa51562995fca66a99f7e648b4489a38ac5053a23cebb8ac0ad469a617ce3c,sender,recipient,-7.325466062397772,300.0,504661705717908575356873773838,0,40573412373157.914,37032
mypool,35858889,0x3625e7aaae2996373950c09bac23cdc67bcf5dc703080c51eb816fd9e0b643e9,1667778417,17,0x3625e7aaae2996373950c09bac23cdc67bcf5dc703080c51eb816fd9e0b643e9,sender,recipient,-0.07169945610837027,2.938497585996496,504665350568799157882161462953,0,40573998447237.17,37033
mypool,35858988,0x3f4f318293bd3c28effcd61c019b56d5b3f6c38f3e59a1e8de6a82ed2eb4027a,1667778449,3,0x3f4f318293bd3c28effcd61c019b56d5b3f6c38f3e59a1e8de6a82ed2eb4027a,sender,recipient,-0.573491402540011,23.505235916994565,504694505971367357289781266451,0,40578686644783.45,37034
mypool,35859184,0xeb11f3b28161f850eed7e4bd1c73c6d372c53fbce41ea0d28737ad18fde031a1,1667778510,3,0xeb11f3b28161f850eed7e4bd1c73c6d372c53fbce41ea0d28737ad18fde031a1,sender,recipient,-0.07319059210085258,3.0,504698227108564766106836094633,0,40579285024259.24,37034
mypool,35859977,0x24717f15c921594b0b7d641d525c6672183bc8c434a5cb4ddd8697fabc3f0954,1667778795,15,0x24717f15c921594b0b7d641d525c6672183bc8c434a5cb4ddd8697fabc3f0954,sender,recipient,-0.04436662137986393,1.818559415261322,504700482811593375084473214257,0,40579647755950.234,37034
mypool,35865890,0x6b2c68f35ec0f6008dd13171d87b46dcf7116b864d234327a6179c814ee6e590,1667780975,3,0x6b2c68f35ec0f6008dd13171d87b46dcf7116b864d234327a6179c814ee6e590,sender,recipient,-0.12198083146470319,5.0,504706684706922389779564594561,0,40580645069338.04,37034
mypool,35866460,0x98d860dd8b50fca2f5e17f1eef49a3b054aefb99fa4d946f5d26fb8d2860ac84,1667781212,3,0x98d860dd8b50fca2f5e17f1eef49a3b054aefb99fa4d946f5d26fb8d2860ac84,sender,recipient,-3.0485467911738313,125.0,504861732090147757156849102161,0,40605581886966.62,37040
mypool,35867359,0xbc4352b31eaacd3aaa2fd3099d07188e092cd18b33d134c0a66ba0ed2ba57df3,1667781572,3,0xbc4352b31eaacd3aaa2fd3099d07188e092cd18b33d134c0a66ba0ed2ba57df3,sender,recipient,-0.6094846756452033,25.0,504892741566792830632306003681,0,40610570169630.83,37042
mypool,35868509,0x46eead1d20e762ad520debdae73b2ce77a0e5320ebade16c646f97eca50e09d6,1667782004,3,0x46eead1d20e762ad520debdae73b2ce77a0e5320ebade16c646f97eca50e09d6,sender,recipient,-8.582367035462239,352.3601289815698,505329801694405193280471998375,0,40680909637156.99,37059
mypool,35868908,0xcff7b916078c15f40fcff1d1f36b3d2b06f8b07639c388f7c92448deeb336fb6,1667782172,3,0xcff7b916078c15f40fcff1d1f36b3d2b06f8b07639c388f7c92448deeb336fb6,sender,recipient,-9.724747488345887,400.0,505825953320726368887782422695,0,40760832919184.83,37079
mypool,35884427,0x424a6c578598c6d7dd6d13ff8935bcb90dd046183ff52ef23d5df2eb3e9babc2,1667787381,3,0x424a6c578598c6d7dd6d13ff8935bcb90dd046183ff52ef23d5df2eb3e9babc2,sender,recipient,1.2,-48.41811503378275,505765843246250347582142543642,0,40751145827785.914,37076
